shipment_id,origin,destination,dispatch_date,delivery_date,delay_days,disruption_type,risk_score,source
O1046,B21,S1,2023-08-10 00:00:00,2023-08-14,0.0,,0.0,resilience
O1047,B48,S15,2024-01-03 00:00:00,2024-01-14,3.0,Strike,1.0,resilience
O1048,B4,S18,2023-01-24 00:00:00,2023-01-29,1.0,Shortage,1.0,resilience
O1049,B29,S3,2023-06-05 00:00:00,2023-06-13,3.0,Strike,1.0,resilience
O1050,B49,S2,2023-02-21 00:00:00,2023-02-28,0.0,,0.0,resilience
O1051,B22,S7,2023-06-28 00:00:00,2023-06-30,0.0,,0.0,resilience
O1052,B3,S9,2023-04-08 00:00:00,2023-04-18,3.0,Shortage,1.0,resilience
O1053,B34,S4,2023-04-18 00:00:00,2023-04-21,1.0,Strike,1.0,resilience
O1054,B20,S17,2023-09-11 00:00:00,2023-09-13,1.0,Shortage,1.0,resilience
O1055,B3,S30,2023-04-28 00:00:00,2023-05-16,10.0,Weather,1.0,resilience
O1056,B21,S21,2023-12-23 00:00:00,2024-01-11,10.0,Weather,1.0,resilience
O1057,B40,S5,2023-08-20 00:00:00,2023-08-29,5.0,Weather,1.0,resilience
O1058,B25,S1,2023-03-11 00:00:00,2023-03-18,1.0,Shortage,1.0,resilience
O1059,B24,S29,2023-12-02 00:00:00,2023-12-07,3.0,Shortage,1.0,resilience
O1060,B17,S13,2023-09-20 00:00:00,2023-10-01,3.0,Weather,1.0,resilience
O1061,B6,S8,2023-10-25 00:00:00,2023-11-01,2.0,Shortage,1.0,resilience
O1062,B12,S8,2023-09-04 00:00:00,2023-09-09,0.0,,0.0,resilience
O1063,B49,S2,2023-07-07 00:00:00,2023-07-17,1.0,Weather,1.0,resilience
O1064,B5,S5,2023-09-04 00:00:00,2023-09-10,5.0,Shortage,1.0,resilience
O1065,B31,S4,2023-05-07 00:00:00,2023-05-13,2.0,Strike,1.0,resilience
O1066,B24,S13,2023-09-27 00:00:00,2023-10-06,2.0,Strike,1.0,resilience
O1067,B33,S12,2023-05-15 00:00:00,2023-05-17,0.0,,0.0,resilience
O1068,B25,S29,2023-08-28 00:00:00,2023-09-02,2.0,Customs,1.0,resilience
O1069,B44,S26,2023-01-19 00:00:00,2023-01-22,0.0,,0.0,resilience
O1070,B15,S12,2023-02-13 00:00:00,2023-02-25,5.0,Shortage,1.0,resilience
O1071,B35,S23,2023-01-24 00:00:00,2023-02-10,10.0,Weather,1.0,resilience
O1072,B12,S10,2023-08-17 00:00:00,2023-08-24,2.0,Customs,1.0,resilience
O1073,B42,S27,2023-12-25 00:00:00,2024-01-04,5.0,Customs,1.0,resilience
O1074,B5,S2,2023-10-11 00:00:00,2023-10-26,10.0,Customs,1.0,resilience
O1075,B50,S28,2023-01-11 00:00:00,2023-01-20,3.0,Weather,1.0,resilience
O1076,B17,S18,2023-04-12 00:00:00,2023-04-23,10.0,Shortage,1.0,resilience
O1077,B12,S14,2023-09-01 00:00:00,2023-09-04,1.0,Weather,1.0,resilience
O1078,B46,S24,2023-04-01 00:00:00,2023-04-08,0.0,,0.0,resilience
O1079,B46,S14,2023-10-26 00:00:00,2023-10-31,0.0,,0.0,resilience
O1080,B22,S14,2023-01-18 00:00:00,2023-01-25,1.0,Customs,1.0,resilience
O1081,B12,S8,2023-12-01 00:00:00,2023-12-05,0.0,,0.0,resilience
O1082,B45,S15,2023-01-06 00:00:00,2023-01-17,3.0,Weather,1.0,resilience
O1083,B40,S10,2023-10-24 00:00:00,2023-10-30,0.0,,0.0,resilience
O1084,B13,S2,2023-11-23 00:00:00,2023-11-28,2.0,Strike,1.0,resilience
O1085,B6,S2,2023-02-14 00:00:00,2023-02-18,0.0,,0.0,resilience
O1086,B42,S7,2023-11-15 00:00:00,2023-11-18,1.0,Customs,1.0,resilience
O1087,B24,S14,2023-11-13 00:00:00,2023-11-14,0.0,,0.0,resilience
O1088,B22,S5,2023-04-25 00:00:00,2023-05-05,5.0,Customs,1.0,resilience
O1089,B1,S29,2023-01-18 00:00:00,2023-01-19,0.0,,0.0,resilience
O1090,B25,S1,2023-08-20 00:00:00,2023-08-24,3.0,Shortage,1.0,resilience
O1091,B49,S22,2023-03-28 00:00:00,2023-03-31,0.0,,0.0,resilience
O1092,B40,S13,2023-05-13 00:00:00,2023-05-15,0.0,,0.0,resilience
O1093,B15,S18,2023-08-21 00:00:00,2023-08-25,0.0,,0.0,resilience
O1094,B32,S24,2023-11-23 00:00:00,2023-12-03,3.0,Customs,1.0,resilience
O1095,B32,S25,2023-05-28 00:00:00,2023-06-02,0.0,,0.0,resilience
O1096,B10,S30,2023-12-12 00:00:00,2023-12-19,1.0,Weather,1.0,resilience
O1097,B20,S10,2023-01-31 00:00:00,2023-02-07,0.0,,0.0,resilience
O1098,B46,S12,2023-03-08 00:00:00,2023-03-12,2.0,Strike,1.0,resilience
O1099,B21,S30,2023-06-15 00:00:00,2023-06-23,0.0,,0.0,resilience
O1100,B3,S23,2023-08-21 00:00:00,2023-08-27,0.0,,0.0,resilience
O1101,B46,S17,2023-09-19 00:00:00,2023-09-24,1.0,Weather,1.0,resilience
O1102,B31,S23,2023-06-14 00:00:00,2023-06-20,3.0,Customs,1.0,resilience
O1103,B42,S17,2023-10-31 00:00:00,2023-11-11,7.0,Strike,1.0,resilience
O1104,B44,S10,2023-10-31 00:00:00,2023-11-16,10.0,Shortage,1.0,resilience
O1105,B5,S26,2023-10-16 00:00:00,2023-10-22,5.0,Weather,1.0,resilience
O1106,B28,S22,2023-01-13 00:00:00,2023-01-18,3.0,Shortage,1.0,resilience
O1107,B40,S17,2023-07-17 00:00:00,2023-07-23,1.0,Strike,1.0,resilience
O1108,B16,S15,2023-04-30 00:00:00,2023-05-02,0.0,,0.0,resilience
O1109,B34,S16,2023-10-01 00:00:00,2023-10-07,0.0,,0.0,resilience
O1110,B38,S26,2023-03-24 00:00:00,2023-03-25,0.0,,0.0,resilience
O1111,B12,S15,2023-04-05 00:00:00,2023-04-10,0.0,,0.0,resilience
O1112,B32,S9,2023-09-26 00:00:00,2023-09-29,0.0,,0.0,resilience
O1113,B43,S1,2023-11-30 00:00:00,2023-12-03,1.0,Weather,1.0,resilience
O1114,B26,S28,2023-12-17 00:00:00,2023-12-20,0.0,,0.0,resilience
O1115,B33,S22,2023-12-29 00:00:00,2024-01-02,0.0,,0.0,resilience
O1116,B32,S26,2023-09-15 00:00:00,2023-10-04,10.0,Shortage,1.0,resilience
O1117,B43,S13,2023-05-16 00:00:00,2023-05-20,1.0,Weather,1.0,resilience
O1118,B6,S18,2023-10-07 00:00:00,2023-10-16,2.0,Shortage,1.0,resilience
O1119,B1,S13,2023-09-22 00:00:00,2023-09-28,0.0,,0.0,resilience
O1120,B38,S12,2023-06-22 00:00:00,2023-07-07,10.0,Weather,1.0,resilience
O1121,B14,S3,2023-01-02 00:00:00,2023-01-03,0.0,,0.0,resilience
O1122,B39,S13,2023-11-11 00:00:00,2023-11-16,2.0,Shortage,1.0,resilience
O1123,B8,S11,2023-03-08 00:00:00,2023-03-10,0.0,,0.0,resilience
O1124,B25,S8,2023-10-12 00:00:00,2023-10-15,0.0,,0.0,resilience
O1125,B45,S22,2023-05-04 00:00:00,2023-05-17,10.0,Weather,1.0,resilience
O1126,B1,S16,2023-04-21 00:00:00,2023-05-01,2.0,Strike,1.0,resilience
O1127,B1,S3,2023-06-26 00:00:00,2023-07-04,1.0,Strike,1.0,resilience
O1128,B24,S13,2023-07-25 00:00:00,2023-07-28,0.0,,0.0,resilience
O1129,B2,S17,2023-06-15 00:00:00,2023-06-16,0.0,,0.0,resilience
O1130,B41,S18,2023-11-02 00:00:00,2023-11-07,0.0,,0.0,resilience
O1131,B43,S5,2023-05-02 00:00:00,2023-05-10,2.0,Shortage,1.0,resilience
O1132,B32,S23,2023-02-15 00:00:00,2023-02-20,3.0,Strike,1.0,resilience
O1133,B22,S16,2023-11-09 00:00:00,2023-11-10,0.0,,0.0,resilience
O1134,B33,S8,2023-06-09 00:00:00,2023-06-14,0.0,,0.0,resilience
O1135,B34,S1,2023-07-28 00:00:00,2023-07-29,0.0,,0.0,resilience
O1136,B20,S22,2023-04-20 00:00:00,2023-04-26,3.0,Weather,1.0,resilience
O1137,B39,S30,2023-09-12 00:00:00,2023-09-18,3.0,Strike,1.0,resilience
O1138,B45,S20,2023-12-04 00:00:00,2023-12-08,0.0,,0.0,resilience
O1139,B49,S19,2023-05-13 00:00:00,2023-05-21,2.0,Strike,1.0,resilience
O1140,B35,S3,2023-10-22 00:00:00,2023-10-26,0.0,,0.0,resilience
O1141,B21,S22,2023-01-22 00:00:00,2023-01-27,0.0,,0.0,resilience
O1142,B22,S23,2023-10-11 00:00:00,2023-10-18,0.0,,0.0,resilience
O1143,B15,S7,2023-10-16 00:00:00,2023-10-21,1.0,Shortage,1.0,resilience
O1144,B33,S24,2023-01-04 00:00:00,2023-01-14,2.0,Shortage,1.0,resilience
O1145,B34,S19,2023-05-03 00:00:00,2023-05-05,0.0,,0.0,resilience
O1146,B47,S8,2023-02-08 00:00:00,2023-02-19,5.0,Weather,1.0,resilience
O1147,B1,S11,2023-07-21 00:00:00,2023-07-23,1.0,Shortage,1.0,resilience
O1148,B29,S8,2023-09-03 00:00:00,2023-09-06,1.0,Shortage,1.0,resilience
O1149,B39,S11,2023-03-01 00:00:00,2023-03-10,0.0,,0.0,resilience
O1150,B29,S25,2023-11-23 00:00:00,2023-12-11,10.0,Strike,1.0,resilience
O1151,B23,S30,2023-06-12 00:00:00,2023-06-17,0.0,,0.0,resilience
O1152,B46,S25,2023-07-01 00:00:00,2023-07-08,0.0,,0.0,resilience
O1153,B19,S11,2023-07-27 00:00:00,2023-08-06,1.0,Customs,1.0,resilience
O1154,B2,S13,2023-01-15 00:00:00,2023-01-24,3.0,Shortage,1.0,resilience
O1155,B22,S21,2023-10-05 00:00:00,2023-10-09,1.0,Shortage,1.0,resilience
O1156,B15,S6,2023-07-01 00:00:00,2023-07-08,1.0,Strike,1.0,resilience
O1157,B19,S14,2023-09-01 00:00:00,2023-09-07,0.0,,0.0,resilience
O1158,B31,S21,2023-08-07 00:00:00,2023-08-20,5.0,Customs,1.0,resilience
O1159,B38,S17,2023-09-11 00:00:00,2023-09-16,2.0,Shortage,1.0,resilience
O1160,B12,S29,2023-10-29 00:00:00,2023-11-05,3.0,Strike,1.0,resilience
O1161,B30,S16,2023-05-09 00:00:00,2023-05-15,1.0,Strike,1.0,resilience
O1162,B6,S6,2023-08-06 00:00:00,2023-08-09,2.0,Weather,1.0,resilience
O1163,B5,S4,2023-11-05 00:00:00,2023-11-21,7.0,Shortage,1.0,resilience
O1164,B42,S4,2023-10-14 00:00:00,2023-10-19,1.0,Shortage,1.0,resilience
O1165,B44,S3,2023-07-05 00:00:00,2023-07-13,0.0,,0.0,resilience
O1166,B23,S23,2023-02-12 00:00:00,2023-02-20,3.0,Customs,1.0,resilience
O1167,B1,S12,2023-08-12 00:00:00,2023-08-21,0.0,,0.0,resilience
O1168,B10,S4,2023-07-05 00:00:00,2023-07-13,5.0,Customs,1.0,resilience
O1169,B2,S25,2023-06-30 00:00:00,2023-07-04,1.0,Weather,1.0,resilience
O1170,B27,S7,2023-10-22 00:00:00,2023-10-24,0.0,,0.0,resilience
O1171,B31,S6,2023-12-08 00:00:00,2023-12-11,2.0,Shortage,1.0,resilience
O1172,B33,S9,2023-06-02 00:00:00,2023-06-08,0.0,,0.0,resilience
O1173,B29,S12,2023-05-08 00:00:00,2023-05-16,0.0,,0.0,resilience
O1174,B47,S8,2023-10-31 00:00:00,2023-11-08,0.0,,0.0,resilience
O1175,B29,S12,2023-11-08 00:00:00,2023-11-09,0.0,,0.0,resilience
O1176,B14,S20,2023-12-03 00:00:00,2023-12-12,0.0,,0.0,resilience
O1177,B19,S4,2023-08-25 00:00:00,2023-08-31,0.0,,0.0,resilience
O1178,B26,S5,2023-01-09 00:00:00,2023-01-13,0.0,,0.0,resilience
O1179,B2,S16,2023-12-09 00:00:00,2023-12-11,1.0,Shortage,1.0,resilience
O1180,B34,S21,2023-05-11 00:00:00,2023-05-27,7.0,Strike,1.0,resilience
O1181,B26,S8,2023-09-24 00:00:00,2023-09-26,1.0,Weather,1.0,resilience
O1182,B48,S30,2023-06-09 00:00:00,2023-06-28,10.0,Weather,1.0,resilience
O1183,B3,S29,2023-12-21 00:00:00,2023-12-22,0.0,,0.0,resilience
O1184,B37,S10,2023-12-28 00:00:00,2024-01-03,0.0,,0.0,resilience
O1185,B47,S28,2023-01-07 00:00:00,2023-01-24,10.0,Customs,1.0,resilience
O1186,B36,S3,2023-03-28 00:00:00,2023-03-31,0.0,,0.0,resilience
O1187,B14,S16,2023-06-27 00:00:00,2023-06-30,2.0,Strike,1.0,resilience
O1188,B10,S15,2023-10-20 00:00:00,2023-10-29,1.0,Shortage,1.0,resilience
O1189,B12,S24,2023-07-14 00:00:00,2023-07-21,3.0,Weather,1.0,resilience
O1190,B38,S1,2023-11-11 00:00:00,2023-11-23,5.0,Customs,1.0,resilience
O1191,B29,S11,2023-05-03 00:00:00,2023-05-06,0.0,,0.0,resilience
O1192,B11,S26,2023-08-08 00:00:00,2023-08-22,10.0,Customs,1.0,resilience
O1193,B19,S1,2023-04-27 00:00:00,2023-05-03,0.0,,0.0,resilience
O1194,B29,S1,2023-05-26 00:00:00,2023-05-29,0.0,,0.0,resilience
O1195,B24,S28,2023-01-27 00:00:00,2023-02-01,0.0,,0.0,resilience
O1196,B31,S25,2023-05-20 00:00:00,2023-05-23,0.0,,0.0,resilience
O1197,B36,S24,2023-11-03 00:00:00,2023-11-09,5.0,Weather,1.0,resilience
O1198,B49,S14,2023-08-23 00:00:00,2023-09-07,10.0,Customs,1.0,resilience
O1199,B23,S10,2023-03-19 00:00:00,2023-03-25,0.0,,0.0,resilience
O1200,B13,S8,2023-11-27 00:00:00,2023-12-11,10.0,Customs,1.0,resilience
O1201,B26,S4,2023-12-15 00:00:00,2023-12-25,2.0,Shortage,1.0,resilience
O1202,B37,S19,2023-10-31 00:00:00,2023-11-10,5.0,Customs,1.0,resilience
O1203,B40,S30,2023-10-19 00:00:00,2023-10-24,0.0,,0.0,resilience
O1204,B13,S29,2023-01-04 00:00:00,2023-01-23,10.0,Customs,1.0,resilience
O1205,B6,S16,2023-05-29 00:00:00,2023-06-05,0.0,,0.0,resilience
O1206,B44,S13,2023-10-18 00:00:00,2023-10-21,0.0,,0.0,resilience
O1207,B47,S3,2023-05-26 00:00:00,2023-06-02,2.0,Strike,1.0,resilience
O1208,B45,S1,2023-02-26 00:00:00,2023-03-04,0.0,,0.0,resilience
O1209,B7,S26,2023-11-04 00:00:00,2023-11-07,0.0,,0.0,resilience
O1210,B18,S5,2023-03-14 00:00:00,2023-03-25,3.0,Weather,1.0,resilience
O1211,B30,S9,2023-12-30 00:00:00,2024-01-08,0.0,,0.0,resilience
O1212,B31,S3,2023-04-04 00:00:00,2023-04-07,0.0,,0.0,resilience
O1213,B18,S20,2023-08-09 00:00:00,2023-08-13,2.0,Customs,1.0,resilience
O1214,B40,S3,2023-07-14 00:00:00,2023-07-26,3.0,Customs,1.0,resilience
O1215,B30,S5,2023-03-07 00:00:00,2023-03-17,7.0,Shortage,1.0,resilience
O1216,B44,S29,2023-03-16 00:00:00,2023-03-21,1.0,Shortage,1.0,resilience
O1217,B13,S17,2023-06-14 00:00:00,2023-06-25,3.0,Shortage,1.0,resilience
O1218,B27,S27,2023-06-19 00:00:00,2023-06-23,0.0,,0.0,resilience
O1219,B3,S15,2023-04-02 00:00:00,2023-04-04,0.0,,0.0,resilience
O1220,B50,S28,2023-06-29 00:00:00,2023-07-11,3.0,Strike,1.0,resilience
O1221,B1,S3,2023-09-29 00:00:00,2023-10-02,0.0,,0.0,resilience
O1222,B25,S25,2023-03-15 00:00:00,2023-03-25,1.0,Weather,1.0,resilience
O1223,B42,S13,2023-09-06 00:00:00,2023-09-09,2.0,Strike,1.0,resilience
O1224,B9,S1,2023-03-21 00:00:00,2023-04-01,2.0,Customs,1.0,resilience
O1225,B47,S19,2023-06-10 00:00:00,2023-06-11,0.0,,0.0,resilience
O1226,B18,S26,2023-11-24 00:00:00,2023-12-01,3.0,Customs,1.0,resilience
O1227,B28,S21,2023-04-09 00:00:00,2023-04-12,2.0,Strike,1.0,resilience
O1228,B13,S22,2023-04-13 00:00:00,2023-04-24,3.0,Strike,1.0,resilience
O1229,B39,S20,2023-05-14 00:00:00,2023-05-15,0.0,,0.0,resilience
O1230,B17,S24,2023-04-15 00:00:00,2023-04-18,1.0,Shortage,1.0,resilience
O1231,B13,S11,2023-01-23 00:00:00,2023-01-28,0.0,,0.0,resilience
O1232,B2,S7,2023-03-26 00:00:00,2023-04-10,10.0,Customs,1.0,resilience
O1233,B28,S7,2023-10-09 00:00:00,2023-10-11,0.0,,0.0,resilience
O1234,B40,S25,2023-12-06 00:00:00,2023-12-08,0.0,,0.0,resilience
O1235,B17,S23,2024-01-04 00:00:00,2024-01-08,2.0,Strike,1.0,resilience
O1236,B19,S24,2023-11-28 00:00:00,2023-12-07,0.0,,0.0,resilience
O1237,B46,S9,2023-05-13 00:00:00,2023-05-19,0.0,,0.0,resilience
O1238,B48,S23,2023-12-11 00:00:00,2023-12-12,0.0,,0.0,resilience
O1239,B25,S18,2023-11-09 00:00:00,2023-11-17,0.0,,0.0,resilience
O1240,B32,S12,2023-04-03 00:00:00,2023-04-08,0.0,,0.0,resilience
O1241,B6,S10,2023-08-05 00:00:00,2023-08-14,0.0,,0.0,resilience
O1242,B46,S26,2023-05-26 00:00:00,2023-06-03,0.0,,0.0,resilience
O1243,B17,S1,2023-03-10 00:00:00,2023-03-16,0.0,,0.0,resilience
O1244,B44,S15,2023-03-18 00:00:00,2023-03-25,3.0,Weather,1.0,resilience
O1245,B46,S29,2023-07-21 00:00:00,2023-07-22,0.0,,0.0,resilience
O1246,B26,S24,2023-05-26 00:00:00,2023-06-12,10.0,Customs,1.0,resilience
O1247,B17,S18,2023-11-14 00:00:00,2023-11-23,3.0,Shortage,1.0,resilience
O1248,B11,S21,2023-04-05 00:00:00,2023-04-09,0.0,,0.0,resilience
O1249,B28,S10,2023-11-05 00:00:00,2023-11-07,0.0,,0.0,resilience
O1250,B49,S29,2023-08-14 00:00:00,2023-08-19,0.0,,0.0,resilience
O1251,B37,S24,2023-10-21 00:00:00,2023-11-06,10.0,Weather,1.0,resilience
O1252,B1,S23,2023-04-14 00:00:00,2023-04-16,1.0,Weather,1.0,resilience
O1253,B19,S25,2023-09-28 00:00:00,2023-10-08,1.0,Shortage,1.0,resilience
O1254,B21,S19,2023-12-22 00:00:00,2024-01-05,5.0,Weather,1.0,resilience
O1255,B35,S29,2023-04-21 00:00:00,2023-04-27,0.0,,0.0,resilience
O1256,B46,S23,2023-11-30 00:00:00,2023-12-02,0.0,,0.0,resilience
O1257,B20,S24,2023-09-25 00:00:00,2023-10-02,5.0,Customs,1.0,resilience
O1258,B8,S10,2023-01-06 00:00:00,2023-01-13,0.0,,0.0,resilience
O1259,B45,S29,2023-03-28 00:00:00,2023-04-06,0.0,,0.0,resilience
O1260,B35,S25,2023-10-10 00:00:00,2023-10-16,3.0,Customs,1.0,resilience
O1261,B23,S30,2023-11-26 00:00:00,2023-12-04,0.0,,0.0,resilience
O1262,B34,S10,2023-11-03 00:00:00,2023-11-19,7.0,Customs,1.0,resilience
O1263,B22,S27,2023-04-29 00:00:00,2023-05-09,3.0,Customs,1.0,resilience
O1264,B22,S25,2023-08-12 00:00:00,2023-08-21,2.0,Shortage,1.0,resilience
O1265,B36,S6,2023-06-04 00:00:00,2023-06-07,0.0,,0.0,resilience
O1266,B32,S27,2023-06-04 00:00:00,2023-06-09,0.0,,0.0,resilience
O1267,B32,S13,2023-01-13 00:00:00,2023-01-20,0.0,,0.0,resilience
O1268,B13,S22,2023-05-16 00:00:00,2023-05-21,0.0,,0.0,resilience
O1269,B39,S24,2023-11-04 00:00:00,2023-11-21,10.0,Weather,1.0,resilience
O1270,B6,S30,2023-10-22 00:00:00,2023-10-25,0.0,,0.0,resilience
O1271,B20,S7,2023-10-30 00:00:00,2023-11-01,0.0,,0.0,resilience
O1272,B3,S29,2023-08-20 00:00:00,2023-08-25,0.0,,0.0,resilience
O1273,B18,S30,2023-10-01 00:00:00,2023-10-10,0.0,,0.0,resilience
O1274,B22,S23,2023-02-16 00:00:00,2023-03-02,10.0,Strike,1.0,resilience
O1275,B38,S22,2023-12-13 00:00:00,2023-12-19,2.0,Customs,1.0,resilience
O1276,B9,S8,2023-11-25 00:00:00,2023-12-01,0.0,,0.0,resilience
O1277,B36,S24,2023-11-02 00:00:00,2023-11-07,0.0,,0.0,resilience
O1278,B29,S16,2023-12-31 00:00:00,2024-01-10,1.0,Strike,1.0,resilience
O1279,B10,S26,2023-01-25 00:00:00,2023-02-05,2.0,Strike,1.0,resilience
O1280,B42,S30,2023-04-18 00:00:00,2023-05-04,10.0,Shortage,1.0,resilience
O1281,B17,S29,2023-12-03 00:00:00,2023-12-09,3.0,Shortage,1.0,resilience
O1282,B8,S2,2023-11-02 00:00:00,2023-11-07,2.0,Weather,1.0,resilience
O1283,B48,S9,2023-05-01 00:00:00,2023-05-12,5.0,Strike,1.0,resilience
O1284,B7,S14,2023-05-06 00:00:00,2023-05-15,0.0,,0.0,resilience
O1285,B2,S20,2023-10-11 00:00:00,2023-10-22,3.0,Weather,1.0,resilience
O1286,B47,S6,2023-10-20 00:00:00,2023-10-28,0.0,,0.0,resilience
O1287,B40,S19,2023-07-25 00:00:00,2023-07-28,0.0,,0.0,resilience
O1288,B47,S7,2023-02-21 00:00:00,2023-02-25,0.0,,0.0,resilience
O1289,B6,S22,2023-09-30 00:00:00,2023-10-05,0.0,,0.0,resilience
O1290,B8,S17,2023-11-24 00:00:00,2023-11-29,2.0,Customs,1.0,resilience
O1291,B17,S29,2023-10-05 00:00:00,2023-10-12,5.0,Shortage,1.0,resilience
O1292,B42,S17,2023-05-24 00:00:00,2023-06-02,2.0,Customs,1.0,resilience
O1293,B12,S16,2023-10-06 00:00:00,2023-10-09,0.0,,0.0,resilience
O1294,B30,S12,2023-10-19 00:00:00,2023-10-23,0.0,,0.0,resilience
O1295,B24,S16,2023-12-02 00:00:00,2023-12-05,0.0,,0.0,resilience
O1296,B6,S9,2023-02-22 00:00:00,2023-02-27,1.0,Shortage,1.0,resilience
O1297,B2,S28,2023-01-30 00:00:00,2023-02-07,0.0,,0.0,resilience
O1298,B19,S25,2023-06-08 00:00:00,2023-06-17,0.0,,0.0,resilience
O1299,B41,S30,2023-08-31 00:00:00,2023-09-15,7.0,Shortage,1.0,resilience
O1300,B18,S15,2023-06-06 00:00:00,2023-06-15,0.0,,0.0,resilience
O1301,B27,S8,2023-10-22 00:00:00,2023-11-02,2.0,Customs,1.0,resilience
O1302,B7,S4,2023-05-20 00:00:00,2023-05-26,0.0,,0.0,resilience
O1303,B5,S18,2023-05-27 00:00:00,2023-05-28,0.0,,0.0,resilience
O1304,B42,S20,2023-04-17 00:00:00,2023-04-24,1.0,Weather,1.0,resilience
O1305,B20,S25,2023-06-10 00:00:00,2023-06-15,1.0,Customs,1.0,resilience
O1306,B31,S12,2023-05-27 00:00:00,2023-06-05,0.0,,0.0,resilience
O1307,B33,S25,2023-01-03 00:00:00,2023-01-08,0.0,,0.0,resilience
O1308,B15,S6,2023-03-19 00:00:00,2023-03-22,1.0,Customs,1.0,resilience
O1309,B45,S18,2023-05-13 00:00:00,2023-05-18,0.0,,0.0,resilience
