shipment_id,origin,destination,dispatch_date,delivery_date,delay_days,disruption_type,risk_score,source,lead_time_days,delay_severity,month,weekday,quarter,year,route_risk_score
O1017,B17,S16,2023-04-30 00:00:00,2023-05-07,0.0,,0.0,resilience,7.0,Moderate,4,6,2,2023,1.0
O1018,B22,S8,2023-11-07 00:00:00,2023-11-14,2.0,Customs,1.0,resilience,7.0,Moderate,11,1,4,2023,1.0
O1019,B36,S18,2023-07-04 00:00:00,2023-07-12,5.0,Customs,1.0,resilience,8.0,Severe,7,1,3,2023,1.0
O1020,B37,S24,2023-10-17 00:00:00,2023-11-01,10.0,Strike,1.0,resilience,15.0,Severe,10,1,4,2023,1.0
O1021,B31,S9,2023-11-06 00:00:00,2023-11-12,0.0,,0.0,resilience,6.0,Moderate,11,0,4,2023,1.0
O1022,B50,S21,2023-10-30 00:00:00,2023-11-05,2.0,Weather,1.0,resilience,6.0,Moderate,10,0,4,2023,1.0
O1023,B41,S12,2023-03-24 00:00:00,2023-04-03,7.0,Customs,1.0,resilience,10.0,Severe,3,4,1,2023,1.0
O1024,B23,S21,2023-08-03 00:00:00,2023-08-12,1.0,Strike,1.0,resilience,9.0,Severe,8,3,3,2023,1.0
O1025,B6,S7,2023-06-02 00:00:00,2023-06-06,3.0,Strike,1.0,resilience,4.0,Moderate,6,4,2,2023,1.0
O1026,B37,S23,2023-02-10 00:00:00,2023-02-14,3.0,Strike,1.0,resilience,4.0,Moderate,2,4,1,2023,1.0
O1027,B23,S10,2023-12-20 00:00:00,2023-12-27,0.0,,0.0,resilience,7.0,Moderate,12,2,4,2023,1.0
O1028,B14,S7,2023-11-12 00:00:00,2023-11-18,2.0,Strike,1.0,resilience,6.0,Moderate,11,6,4,2023,1.0
O1029,B39,S16,2023-12-30 00:00:00,2024-01-08,7.0,Shortage,1.0,resilience,9.0,Severe,12,5,4,2023,1.0
O1030,B34,S3,2023-03-02 00:00:00,2023-03-13,7.0,Strike,1.0,resilience,11.0,Severe,3,3,1,2023,1.0
O1031,B35,S16,2023-05-14 00:00:00,2023-05-18,1.0,Customs,1.0,resilience,4.0,Moderate,5,6,2,2023,1.0
O1032,B2,S11,2023-07-25 00:00:00,2023-07-29,2.0,Customs,1.0,resilience,4.0,Moderate,7,1,3,2023,1.0
O1033,B4,S2,2023-09-04 00:00:00,2023-09-09,0.0,,0.0,resilience,5.0,Moderate,9,0,3,2023,1.0
O1034,B41,S20,2023-02-08 00:00:00,2023-02-10,0.0,,0.0,resilience,2.0,Minor,2,2,1,2023,1.0
O1035,B32,S16,2023-04-07 00:00:00,2023-04-12,0.0,,0.0,resilience,5.0,Moderate,4,4,2,2023,1.0
O1036,B4,S17,2023-07-30 00:00:00,2023-08-06,1.0,Customs,1.0,resilience,7.0,Moderate,7,6,3,2023,1.0
O1037,B37,S6,2023-12-20 00:00:00,2023-12-25,1.0,Customs,1.0,resilience,5.0,Moderate,12,2,4,2023,1.0
O1038,B13,S12,2023-11-29 00:00:00,2023-11-30,0.0,,0.0,resilience,1.0,Minor,11,2,4,2023,1.0
O1039,B11,S27,2023-11-05 00:00:00,2023-11-15,1.0,Strike,1.0,resilience,10.0,Severe,11,6,4,2023,1.0
O1040,B35,S14,2023-12-20 00:00:00,2024-01-06,10.0,Weather,1.0,resilience,17.0,Severe,12,2,4,2023,1.0
O1041,B4,S7,2023-08-05 00:00:00,2023-08-10,3.0,Shortage,1.0,resilience,5.0,Moderate,8,5,3,2023,1.0
O1042,B45,S20,2023-06-09 00:00:00,2023-06-17,0.0,,0.0,resilience,8.0,Severe,6,4,2,2023,1.0
O1043,B7,S5,2023-01-27 00:00:00,2023-02-02,2.0,Shortage,1.0,resilience,6.0,Moderate,1,4,1,2023,1.0
O1044,B26,S1,2023-10-23 00:00:00,2023-10-31,0.0,,0.0,resilience,8.0,Severe,10,0,4,2023,1.0
O1045,B29,S16,2023-01-08 00:00:00,2023-01-16,2.0,Weather,1.0,resilience,8.0,Severe,1,6,1,2023,1.0
O1046,B21,S1,2023-08-10 00:00:00,2023-08-14,0.0,,0.0,resilience,4.0,Moderate,8,3,3,2023,1.0
O1047,B48,S15,2024-01-03 00:00:00,2024-01-14,3.0,Strike,1.0,resilience,11.0,Severe,1,2,1,2024,1.0
O1048,B4,S18,2023-01-24 00:00:00,2023-01-29,1.0,Shortage,1.0,resilience,5.0,Moderate,1,1,1,2023,1.0
O1049,B29,S3,2023-06-05 00:00:00,2023-06-13,3.0,Strike,1.0,resilience,8.0,Severe,6,0,2,2023,1.0
O1050,B49,S2,2023-02-21 00:00:00,2023-02-28,0.0,,0.0,resilience,7.0,Moderate,2,1,1,2023,1.0
O1051,B22,S7,2023-06-28 00:00:00,2023-06-30,0.0,,0.0,resilience,2.0,Minor,6,2,2,2023,1.0
O1052,B3,S9,2023-04-08 00:00:00,2023-04-18,3.0,Shortage,1.0,resilience,10.0,Severe,4,5,2,2023,1.0
O1053,B34,S4,2023-04-18 00:00:00,2023-04-21,1.0,Strike,1.0,resilience,3.0,Moderate,4,1,2,2023,1.0
O1054,B20,S17,2023-09-11 00:00:00,2023-09-13,1.0,Shortage,1.0,resilience,2.0,Minor,9,0,3,2023,1.0
O1055,B3,S30,2023-04-28 00:00:00,2023-05-16,10.0,Weather,1.0,resilience,18.0,Severe,4,4,2,2023,1.0
O1056,B21,S21,2023-12-23 00:00:00,2024-01-11,10.0,Weather,1.0,resilience,19.0,Severe,12,5,4,2023,1.0
O1057,B40,S5,2023-08-20 00:00:00,2023-08-29,5.0,Weather,1.0,resilience,9.0,Severe,8,6,3,2023,1.0
O1058,B25,S1,2023-03-11 00:00:00,2023-03-18,1.0,Shortage,1.0,resilience,7.0,Moderate,3,5,1,2023,1.0
O1059,B24,S29,2023-12-02 00:00:00,2023-12-07,3.0,Shortage,1.0,resilience,5.0,Moderate,12,5,4,2023,1.0
O1060,B17,S13,2023-09-20 00:00:00,2023-10-01,3.0,Weather,1.0,resilience,11.0,Severe,9,2,3,2023,1.0
O1061,B6,S8,2023-10-25 00:00:00,2023-11-01,2.0,Shortage,1.0,resilience,7.0,Moderate,10,2,4,2023,1.0
O1062,B12,S8,2023-09-04 00:00:00,2023-09-09,0.0,,0.0,resilience,5.0,Moderate,9,0,3,2023,1.0
O1063,B49,S2,2023-07-07 00:00:00,2023-07-17,1.0,Weather,1.0,resilience,10.0,Severe,7,4,3,2023,1.0
O1064,B5,S5,2023-09-04 00:00:00,2023-09-10,5.0,Shortage,1.0,resilience,6.0,Moderate,9,0,3,2023,1.0
O1065,B31,S4,2023-05-07 00:00:00,2023-05-13,2.0,Strike,1.0,resilience,6.0,Moderate,5,6,2,2023,1.0
O1066,B24,S13,2023-09-27 00:00:00,2023-10-06,2.0,Strike,1.0,resilience,9.0,Severe,9,2,3,2023,1.0
O1067,B33,S12,2023-05-15 00:00:00,2023-05-17,0.0,,0.0,resilience,2.0,Minor,5,0,2,2023,1.0
O1068,B25,S29,2023-08-28 00:00:00,2023-09-02,2.0,Customs,1.0,resilience,5.0,Moderate,8,0,3,2023,1.0
O1069,B44,S26,2023-01-19 00:00:00,2023-01-22,0.0,,0.0,resilience,3.0,Moderate,1,3,1,2023,1.0
O1070,B15,S12,2023-02-13 00:00:00,2023-02-25,5.0,Shortage,1.0,resilience,12.0,Severe,2,0,1,2023,1.0
O1071,B35,S23,2023-01-24 00:00:00,2023-02-10,10.0,Weather,1.0,resilience,17.0,Severe,1,1,1,2023,1.0
O1072,B12,S10,2023-08-17 00:00:00,2023-08-24,2.0,Customs,1.0,resilience,7.0,Moderate,8,3,3,2023,1.0
O1073,B42,S27,2023-12-25 00:00:00,2024-01-04,5.0,Customs,1.0,resilience,10.0,Severe,12,0,4,2023,1.0
O1074,B5,S2,2023-10-11 00:00:00,2023-10-26,10.0,Customs,1.0,resilience,15.0,Severe,10,2,4,2023,1.0
O1075,B50,S28,2023-01-11 00:00:00,2023-01-20,3.0,Weather,1.0,resilience,9.0,Severe,1,2,1,2023,1.0
O1076,B17,S18,2023-04-12 00:00:00,2023-04-23,10.0,Shortage,1.0,resilience,11.0,Severe,4,2,2,2023,1.0
O1077,B12,S14,2023-09-01 00:00:00,2023-09-04,1.0,Weather,1.0,resilience,3.0,Moderate,9,4,3,2023,1.0
O1078,B46,S24,2023-04-01 00:00:00,2023-04-08,0.0,,0.0,resilience,7.0,Moderate,4,5,2,2023,1.0
O1079,B46,S14,2023-10-26 00:00:00,2023-10-31,0.0,,0.0,resilience,5.0,Moderate,10,3,4,2023,1.0
O1080,B22,S14,2023-01-18 00:00:00,2023-01-25,1.0,Customs,1.0,resilience,7.0,Moderate,1,2,1,2023,1.0
O1081,B12,S8,2023-12-01 00:00:00,2023-12-05,0.0,,0.0,resilience,4.0,Moderate,12,4,4,2023,1.0
O1082,B45,S15,2023-01-06 00:00:00,2023-01-17,3.0,Weather,1.0,resilience,11.0,Severe,1,4,1,2023,1.0
O1083,B40,S10,2023-10-24 00:00:00,2023-10-30,0.0,,0.0,resilience,6.0,Moderate,10,1,4,2023,1.0
O1084,B13,S2,2023-11-23 00:00:00,2023-11-28,2.0,Strike,1.0,resilience,5.0,Moderate,11,3,4,2023,1.0
O1085,B6,S2,2023-02-14 00:00:00,2023-02-18,0.0,,0.0,resilience,4.0,Moderate,2,1,1,2023,1.0
O1086,B42,S7,2023-11-15 00:00:00,2023-11-18,1.0,Customs,1.0,resilience,3.0,Moderate,11,2,4,2023,1.0
O1087,B24,S14,2023-11-13 00:00:00,2023-11-14,0.0,,0.0,resilience,1.0,Minor,11,0,4,2023,1.0
O1088,B22,S5,2023-04-25 00:00:00,2023-05-05,5.0,Customs,1.0,resilience,10.0,Severe,4,1,2,2023,1.0
O1089,B1,S29,2023-01-18 00:00:00,2023-01-19,0.0,,0.0,resilience,1.0,Minor,1,2,1,2023,1.0
O1090,B25,S1,2023-08-20 00:00:00,2023-08-24,3.0,Shortage,1.0,resilience,4.0,Moderate,8,6,3,2023,1.0
O1091,B49,S22,2023-03-28 00:00:00,2023-03-31,0.0,,0.0,resilience,3.0,Moderate,3,1,1,2023,1.0
O1092,B40,S13,2023-05-13 00:00:00,2023-05-15,0.0,,0.0,resilience,2.0,Minor,5,5,2,2023,1.0
O1093,B15,S18,2023-08-21 00:00:00,2023-08-25,0.0,,0.0,resilience,4.0,Moderate,8,0,3,2023,1.0
O1094,B32,S24,2023-11-23 00:00:00,2023-12-03,3.0,Customs,1.0,resilience,10.0,Severe,11,3,4,2023,1.0
O1095,B32,S25,2023-05-28 00:00:00,2023-06-02,0.0,,0.0,resilience,5.0,Moderate,5,6,2,2023,1.0
O1096,B10,S30,2023-12-12 00:00:00,2023-12-19,1.0,Weather,1.0,resilience,7.0,Moderate,12,1,4,2023,1.0
O1097,B20,S10,2023-01-31 00:00:00,2023-02-07,0.0,,0.0,resilience,7.0,Moderate,1,1,1,2023,1.0
O1098,B46,S12,2023-03-08 00:00:00,2023-03-12,2.0,Strike,1.0,resilience,4.0,Moderate,3,2,1,2023,1.0
O1099,B21,S30,2023-06-15 00:00:00,2023-06-23,0.0,,0.0,resilience,8.0,Severe,6,3,2,2023,1.0
O1100,B3,S23,2023-08-21 00:00:00,2023-08-27,0.0,,0.0,resilience,6.0,Moderate,8,0,3,2023,1.0
O1101,B46,S17,2023-09-19 00:00:00,2023-09-24,1.0,Weather,1.0,resilience,5.0,Moderate,9,1,3,2023,1.0
O1102,B31,S23,2023-06-14 00:00:00,2023-06-20,3.0,Customs,1.0,resilience,6.0,Moderate,6,2,2,2023,1.0
O1103,B42,S17,2023-10-31 00:00:00,2023-11-11,7.0,Strike,1.0,resilience,11.0,Severe,10,1,4,2023,1.0
O1104,B44,S10,2023-10-31 00:00:00,2023-11-16,10.0,Shortage,1.0,resilience,16.0,Severe,10,1,4,2023,1.0
O1105,B5,S26,2023-10-16 00:00:00,2023-10-22,5.0,Weather,1.0,resilience,6.0,Moderate,10,0,4,2023,1.0
O1106,B28,S22,2023-01-13 00:00:00,2023-01-18,3.0,Shortage,1.0,resilience,5.0,Moderate,1,4,1,2023,1.0
O1107,B40,S17,2023-07-17 00:00:00,2023-07-23,1.0,Strike,1.0,resilience,6.0,Moderate,7,0,3,2023,1.0
O1108,B16,S15,2023-04-30 00:00:00,2023-05-02,0.0,,0.0,resilience,2.0,Minor,4,6,2,2023,1.0
O1109,B34,S16,2023-10-01 00:00:00,2023-10-07,0.0,,0.0,resilience,6.0,Moderate,10,6,4,2023,1.0
O1110,B38,S26,2023-03-24 00:00:00,2023-03-25,0.0,,0.0,resilience,1.0,Minor,3,4,1,2023,1.0
O1111,B12,S15,2023-04-05 00:00:00,2023-04-10,0.0,,0.0,resilience,5.0,Moderate,4,2,2,2023,1.0
O1112,B32,S9,2023-09-26 00:00:00,2023-09-29,0.0,,0.0,resilience,3.0,Moderate,9,1,3,2023,1.0
O1113,B43,S1,2023-11-30 00:00:00,2023-12-03,1.0,Weather,1.0,resilience,3.0,Moderate,11,3,4,2023,1.0
O1114,B26,S28,2023-12-17 00:00:00,2023-12-20,0.0,,0.0,resilience,3.0,Moderate,12,6,4,2023,1.0
O1115,B33,S22,2023-12-29 00:00:00,2024-01-02,0.0,,0.0,resilience,4.0,Moderate,12,4,4,2023,1.0
O1116,B32,S26,2023-09-15 00:00:00,2023-10-04,10.0,Shortage,1.0,resilience,19.0,Severe,9,4,3,2023,1.0
O1117,B43,S13,2023-05-16 00:00:00,2023-05-20,1.0,Weather,1.0,resilience,4.0,Moderate,5,1,2,2023,1.0
O1118,B6,S18,2023-10-07 00:00:00,2023-10-16,2.0,Shortage,1.0,resilience,9.0,Severe,10,5,4,2023,1.0
O1119,B1,S13,2023-09-22 00:00:00,2023-09-28,0.0,,0.0,resilience,6.0,Moderate,9,4,3,2023,1.0
O1120,B38,S12,2023-06-22 00:00:00,2023-07-07,10.0,Weather,1.0,resilience,15.0,Severe,6,3,2,2023,1.0
O1121,B14,S3,2023-01-02 00:00:00,2023-01-03,0.0,,0.0,resilience,1.0,Minor,1,0,1,2023,1.0
O1122,B39,S13,2023-11-11 00:00:00,2023-11-16,2.0,Shortage,1.0,resilience,5.0,Moderate,11,5,4,2023,1.0
O1123,B8,S11,2023-03-08 00:00:00,2023-03-10,0.0,,0.0,resilience,2.0,Minor,3,2,1,2023,1.0
O1124,B25,S8,2023-10-12 00:00:00,2023-10-15,0.0,,0.0,resilience,3.0,Moderate,10,3,4,2023,1.0
O1125,B45,S22,2023-05-04 00:00:00,2023-05-17,10.0,Weather,1.0,resilience,13.0,Severe,5,3,2,2023,1.0
O1126,B1,S16,2023-04-21 00:00:00,2023-05-01,2.0,Strike,1.0,resilience,10.0,Severe,4,4,2,2023,1.0
O1127,B1,S3,2023-06-26 00:00:00,2023-07-04,1.0,Strike,1.0,resilience,8.0,Severe,6,0,2,2023,1.0
O1128,B24,S13,2023-07-25 00:00:00,2023-07-28,0.0,,0.0,resilience,3.0,Moderate,7,1,3,2023,1.0
O1129,B2,S17,2023-06-15 00:00:00,2023-06-16,0.0,,0.0,resilience,1.0,Minor,6,3,2,2023,1.0
O1130,B41,S18,2023-11-02 00:00:00,2023-11-07,0.0,,0.0,resilience,5.0,Moderate,11,3,4,2023,1.0
O1131,B43,S5,2023-05-02 00:00:00,2023-05-10,2.0,Shortage,1.0,resilience,8.0,Severe,5,1,2,2023,1.0
O1132,B32,S23,2023-02-15 00:00:00,2023-02-20,3.0,Strike,1.0,resilience,5.0,Moderate,2,2,1,2023,1.0
O1133,B22,S16,2023-11-09 00:00:00,2023-11-10,0.0,,0.0,resilience,1.0,Minor,11,3,4,2023,1.0
O1134,B33,S8,2023-06-09 00:00:00,2023-06-14,0.0,,0.0,resilience,5.0,Moderate,6,4,2,2023,1.0
O1135,B34,S1,2023-07-28 00:00:00,2023-07-29,0.0,,0.0,resilience,1.0,Minor,7,4,3,2023,1.0
O1136,B20,S22,2023-04-20 00:00:00,2023-04-26,3.0,Weather,1.0,resilience,6.0,Moderate,4,3,2,2023,1.0
O1137,B39,S30,2023-09-12 00:00:00,2023-09-18,3.0,Strike,1.0,resilience,6.0,Moderate,9,1,3,2023,1.0
O1138,B45,S20,2023-12-04 00:00:00,2023-12-08,0.0,,0.0,resilience,4.0,Moderate,12,0,4,2023,1.0
O1139,B49,S19,2023-05-13 00:00:00,2023-05-21,2.0,Strike,1.0,resilience,8.0,Severe,5,5,2,2023,1.0
O1140,B35,S3,2023-10-22 00:00:00,2023-10-26,0.0,,0.0,resilience,4.0,Moderate,10,6,4,2023,1.0
O1141,B21,S22,2023-01-22 00:00:00,2023-01-27,0.0,,0.0,resilience,5.0,Moderate,1,6,1,2023,1.0
O1142,B22,S23,2023-10-11 00:00:00,2023-10-18,0.0,,0.0,resilience,7.0,Moderate,10,2,4,2023,1.0
O1143,B15,S7,2023-10-16 00:00:00,2023-10-21,1.0,Shortage,1.0,resilience,5.0,Moderate,10,0,4,2023,1.0
O1144,B33,S24,2023-01-04 00:00:00,2023-01-14,2.0,Shortage,1.0,resilience,10.0,Severe,1,2,1,2023,1.0
O1145,B34,S19,2023-05-03 00:00:00,2023-05-05,0.0,,0.0,resilience,2.0,Minor,5,2,2,2023,1.0
O1146,B47,S8,2023-02-08 00:00:00,2023-02-19,5.0,Weather,1.0,resilience,11.0,Severe,2,2,1,2023,1.0
O1147,B1,S11,2023-07-21 00:00:00,2023-07-23,1.0,Shortage,1.0,resilience,2.0,Minor,7,4,3,2023,1.0
O1148,B29,S8,2023-09-03 00:00:00,2023-09-06,1.0,Shortage,1.0,resilience,3.0,Moderate,9,6,3,2023,1.0
O1149,B39,S11,2023-03-01 00:00:00,2023-03-10,0.0,,0.0,resilience,9.0,Severe,3,2,1,2023,1.0
O1150,B29,S25,2023-11-23 00:00:00,2023-12-11,10.0,Strike,1.0,resilience,18.0,Severe,11,3,4,2023,1.0
O1151,B23,S30,2023-06-12 00:00:00,2023-06-17,0.0,,0.0,resilience,5.0,Moderate,6,0,2,2023,1.0
O1152,B46,S25,2023-07-01 00:00:00,2023-07-08,0.0,,0.0,resilience,7.0,Moderate,7,5,3,2023,1.0
O1153,B19,S11,2023-07-27 00:00:00,2023-08-06,1.0,Customs,1.0,resilience,10.0,Severe,7,3,3,2023,1.0
O1154,B2,S13,2023-01-15 00:00:00,2023-01-24,3.0,Shortage,1.0,resilience,9.0,Severe,1,6,1,2023,1.0
O1155,B22,S21,2023-10-05 00:00:00,2023-10-09,1.0,Shortage,1.0,resilience,4.0,Moderate,10,3,4,2023,1.0
O1156,B15,S6,2023-07-01 00:00:00,2023-07-08,1.0,Strike,1.0,resilience,7.0,Moderate,7,5,3,2023,1.0
O1157,B19,S14,2023-09-01 00:00:00,2023-09-07,0.0,,0.0,resilience,6.0,Moderate,9,4,3,2023,1.0
O1158,B31,S21,2023-08-07 00:00:00,2023-08-20,5.0,Customs,1.0,resilience,13.0,Severe,8,0,3,2023,1.0
O1159,B38,S17,2023-09-11 00:00:00,2023-09-16,2.0,Shortage,1.0,resilience,5.0,Moderate,9,0,3,2023,1.0
O1160,B12,S29,2023-10-29 00:00:00,2023-11-05,3.0,Strike,1.0,resilience,7.0,Moderate,10,6,4,2023,1.0
O1161,B30,S16,2023-05-09 00:00:00,2023-05-15,1.0,Strike,1.0,resilience,6.0,Moderate,5,1,2,2023,1.0
O1162,B6,S6,2023-08-06 00:00:00,2023-08-09,2.0,Weather,1.0,resilience,3.0,Moderate,8,6,3,2023,1.0
O1163,B5,S4,2023-11-05 00:00:00,2023-11-21,7.0,Shortage,1.0,resilience,16.0,Severe,11,6,4,2023,1.0
O1164,B42,S4,2023-10-14 00:00:00,2023-10-19,1.0,Shortage,1.0,resilience,5.0,Moderate,10,5,4,2023,1.0
O1165,B44,S3,2023-07-05 00:00:00,2023-07-13,0.0,,0.0,resilience,8.0,Severe,7,2,3,2023,1.0
O1166,B23,S23,2023-02-12 00:00:00,2023-02-20,3.0,Customs,1.0,resilience,8.0,Severe,2,6,1,2023,1.0
O1167,B1,S12,2023-08-12 00:00:00,2023-08-21,0.0,,0.0,resilience,9.0,Severe,8,5,3,2023,1.0
O1168,B10,S4,2023-07-05 00:00:00,2023-07-13,5.0,Customs,1.0,resilience,8.0,Severe,7,2,3,2023,1.0
O1169,B2,S25,2023-06-30 00:00:00,2023-07-04,1.0,Weather,1.0,resilience,4.0,Moderate,6,4,2,2023,1.0
O1170,B27,S7,2023-10-22 00:00:00,2023-10-24,0.0,,0.0,resilience,2.0,Minor,10,6,4,2023,1.0
O1171,B31,S6,2023-12-08 00:00:00,2023-12-11,2.0,Shortage,1.0,resilience,3.0,Moderate,12,4,4,2023,1.0
O1172,B33,S9,2023-06-02 00:00:00,2023-06-08,0.0,,0.0,resilience,6.0,Moderate,6,4,2,2023,1.0
O1173,B29,S12,2023-05-08 00:00:00,2023-05-16,0.0,,0.0,resilience,8.0,Severe,5,0,2,2023,1.0
O1174,B47,S8,2023-10-31 00:00:00,2023-11-08,0.0,,0.0,resilience,8.0,Severe,10,1,4,2023,1.0
O1175,B29,S12,2023-11-08 00:00:00,2023-11-09,0.0,,0.0,resilience,1.0,Minor,11,2,4,2023,1.0
O1176,B14,S20,2023-12-03 00:00:00,2023-12-12,0.0,,0.0,resilience,9.0,Severe,12,6,4,2023,1.0
O1177,B19,S4,2023-08-25 00:00:00,2023-08-31,0.0,,0.0,resilience,6.0,Moderate,8,4,3,2023,1.0
O1178,B26,S5,2023-01-09 00:00:00,2023-01-13,0.0,,0.0,resilience,4.0,Moderate,1,0,1,2023,1.0
O1179,B2,S16,2023-12-09 00:00:00,2023-12-11,1.0,Shortage,1.0,resilience,2.0,Minor,12,5,4,2023,1.0
O1180,B34,S21,2023-05-11 00:00:00,2023-05-27,7.0,Strike,1.0,resilience,16.0,Severe,5,3,2,2023,1.0
O1181,B26,S8,2023-09-24 00:00:00,2023-09-26,1.0,Weather,1.0,resilience,2.0,Minor,9,6,3,2023,1.0
O1182,B48,S30,2023-06-09 00:00:00,2023-06-28,10.0,Weather,1.0,resilience,19.0,Severe,6,4,2,2023,1.0
O1183,B3,S29,2023-12-21 00:00:00,2023-12-22,0.0,,0.0,resilience,1.0,Minor,12,3,4,2023,1.0
O1184,B37,S10,2023-12-28 00:00:00,2024-01-03,0.0,,0.0,resilience,6.0,Moderate,12,3,4,2023,1.0
O1185,B47,S28,2023-01-07 00:00:00,2023-01-24,10.0,Customs,1.0,resilience,17.0,Severe,1,5,1,2023,1.0
O1186,B36,S3,2023-03-28 00:00:00,2023-03-31,0.0,,0.0,resilience,3.0,Moderate,3,1,1,2023,1.0
O1187,B14,S16,2023-06-27 00:00:00,2023-06-30,2.0,Strike,1.0,resilience,3.0,Moderate,6,1,2,2023,1.0
O1188,B10,S15,2023-10-20 00:00:00,2023-10-29,1.0,Shortage,1.0,resilience,9.0,Severe,10,4,4,2023,1.0
O1189,B12,S24,2023-07-14 00:00:00,2023-07-21,3.0,Weather,1.0,resilience,7.0,Moderate,7,4,3,2023,1.0
O1190,B38,S1,2023-11-11 00:00:00,2023-11-23,5.0,Customs,1.0,resilience,12.0,Severe,11,5,4,2023,1.0
O1191,B29,S11,2023-05-03 00:00:00,2023-05-06,0.0,,0.0,resilience,3.0,Moderate,5,2,2,2023,1.0
O1192,B11,S26,2023-08-08 00:00:00,2023-08-22,10.0,Customs,1.0,resilience,14.0,Severe,8,1,3,2023,1.0
O1193,B19,S1,2023-04-27 00:00:00,2023-05-03,0.0,,0.0,resilience,6.0,Moderate,4,3,2,2023,1.0
O1194,B29,S1,2023-05-26 00:00:00,2023-05-29,0.0,,0.0,resilience,3.0,Moderate,5,4,2,2023,1.0
O1195,B24,S28,2023-01-27 00:00:00,2023-02-01,0.0,,0.0,resilience,5.0,Moderate,1,4,1,2023,1.0
O1196,B31,S25,2023-05-20 00:00:00,2023-05-23,0.0,,0.0,resilience,3.0,Moderate,5,5,2,2023,1.0
O1197,B36,S24,2023-11-03 00:00:00,2023-11-09,5.0,Weather,1.0,resilience,6.0,Moderate,11,4,4,2023,1.0
O1198,B49,S14,2023-08-23 00:00:00,2023-09-07,10.0,Customs,1.0,resilience,15.0,Severe,8,2,3,2023,1.0
O1199,B23,S10,2023-03-19 00:00:00,2023-03-25,0.0,,0.0,resilience,6.0,Moderate,3,6,1,2023,1.0
O1200,B13,S8,2023-11-27 00:00:00,2023-12-11,10.0,Customs,1.0,resilience,14.0,Severe,11,0,4,2023,1.0
O1201,B26,S4,2023-12-15 00:00:00,2023-12-25,2.0,Shortage,1.0,resilience,10.0,Severe,12,4,4,2023,1.0
O1202,B37,S19,2023-10-31 00:00:00,2023-11-10,5.0,Customs,1.0,resilience,10.0,Severe,10,1,4,2023,1.0
O1203,B40,S30,2023-10-19 00:00:00,2023-10-24,0.0,,0.0,resilience,5.0,Moderate,10,3,4,2023,1.0
O1204,B13,S29,2023-01-04 00:00:00,2023-01-23,10.0,Customs,1.0,resilience,19.0,Severe,1,2,1,2023,1.0
O1205,B6,S16,2023-05-29 00:00:00,2023-06-05,0.0,,0.0,resilience,7.0,Moderate,5,0,2,2023,1.0
O1206,B44,S13,2023-10-18 00:00:00,2023-10-21,0.0,,0.0,resilience,3.0,Moderate,10,2,4,2023,1.0
O1207,B47,S3,2023-05-26 00:00:00,2023-06-02,2.0,Strike,1.0,resilience,7.0,Moderate,5,4,2,2023,1.0
